formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
Ba2AsGaSe5,804.1111111,1.986666667,38.44444444,1.412222222,90.45555556,1353.705556,2.43,1.356666667,2782.777778,4.731111111,5.231111111,648.9055556,69,0.057777778,25.87666667,1.908888889,10,14,3.333333333,0,121.8333333,2.057777778,4.444444444,1.818888889,3.111111111,5.555555556,4.666666667,12.44444444,231.4444444,9.137777778,85.10666667,1.388888889,0.777777778,2.271111111,4.666666667,4.666666667,12.31111111,0.3,14.44444444,0,0,2.666666667,2,7237,17.88,346,12.71,814.1,12183.35,21.87,12.21,25045,42.58,47.08,5840.15,621,0.52,232.89,17.18,90,126,30,0,1096.5,18.52,40,16.37,28,50,42,112,2083,82.24,765.96,12.5,7,20.44,42,42,110.8,2.7,130,0,0,24,18,444,1.55,25,1.5,67.61,1786,1.06,0.82,5863,2.4,1.59,787.2,80,0.05,3.29,1.33,0,0,4,0,114.2,1.66,2,2.11,3,5,4,14,122,22.11,223.94,1,1,1.44,4,4,35.9,0.17,49.48,0,0,4,0,1.39
Ba2B6O9(OH)4,1125.68,2.8076,10,0.7456,22.0624,1229.17,2.9088,0.794,1135.4216,0.8416,6.9628,675.086,77.96,0.0552,14.8496,2.8088,10,14,3.68,0.16,66.968,2.7016,2.16,0.9084,2.64,6.36,4.16,11.76,316.28,12.8768,130.7332,0.728,0.76,0.88,4.16,4.16,4.4188,3.0272,7.9964,0,0,2.32,1.84,28142,70.19,250,18.64,551.56,30729.25,72.72,19.85,28385.54,21.04,174.07,16877.15,1949,1.38,371.24,70.22,250,350,92,4,1674.2,67.54,54,22.71,66,159,104,294,7907,321.92,3268.33,18.2,19,22,104,104,110.47,75.68,199.91,0,0,58,46,811,2.73,55,2.05,136.32,4254.75,5.81,1.61,3251,3.5,3.9,2338.1,83,0.22,16.98,2.64,0,0,4,1,161,2.55,5,2.93,3,5,5,15,393,49.98,489.25,1.9,1,3,5,5,39,14.1,26.97,0,0,4,1,6.53
Ba2BiGaS5,809.7777778,2.053333333,34,1.361111111,79.30115222,1324.983333,2.56,1.308888889,2816.666667,3.666666667,5.2432,530.35,68.66666667,0.054077778,24.52751604,1.977777778,8.888888889,12.44444444,3.333333333,0,119.1,2.056666667,4.111111111,1.777444444,3.111111111,5.444444444,4.666666667,12.44444444,249.7777778,4.554444444,77.38888889,1.355555556,0.777777778,2.271111111,4.666666667,4.666666667,12.15555556,0.493333333,9.624444444,1.111111111,1.555555556,2.666666667,2,7288,18.48,306,12.25,713.71037,11924.85,23.04,11.78,25350,33,47.1888,4773.15,618,0.4867,220.7476444,17.8,80,112,30,0,1071.9,18.51,37,15.997,28,49,42,112,2248,40.99,696.5,12.2,7,20.44,42,42,109.4,4.44,86.62,10,14,24,18,497,1.71,67,1.65,176.91037,1958.3,0.95,0.96,6306,7.68,1.68,695.2,79,0.05,5.24,1.51,10,14,4,0,125,1.69,3,2.3,3,5,4,14,106,9.58,248.9,1.15,1,1.44,4,4,36.8,0.59,40.33,10,14,4,0,2.38
Ba2Ca2B4O10,1029.444444,2.673333333,14,0.956666667,31.00333333,1407.894444,3.162222222,1.001111111,1498.988889,1.081111111,6.503333333,787.5944444,66.11111111,0.056666667,16.54666667,2.692222222,10,14,3.555555556,0,83.91111111,2.574444444,2.666666667,1.15,2.888888889,5.666666667,4.444444444,12.22222222,305.4444444,13.08777778,143.5277778,0.961111111,0.777777778,1.111111111,4.444444444,4.444444444,8.05,0.83,30.28333333,0,0,2.444444444,2,18530,48.12,252,17.22,558.06,25342.1,56.92,18.02,26981.8,19.46,117.06,14176.7,1190,1.02,297.84,48.46,180,252,64,0,1510.4,46.34,48,20.7,52,102,80,220,5498,235.58,2583.5,17.3,14,20,80,80,144.9,14.94,545.1,0,0,44,36,811,2.73,51,2.05,126.52,4184.85,3.97,1.25,3129.42,3.5,5.36,2297.4,80,0.22,16.98,2.64,0,0,4,0,161,2.55,4,2.93,3,5,4,14,395,49.98,486.29,1.55,1,3,4,4,38.91,0.82,199.97,0,0,4,0,5.6
Ba2CdB6O12,1068.952381,2.804761905,13.61904762,0.84047619,30.66333333,1504.583333,3.393333333,0.91047619,1478.998095,1.413809524,6.70952381,826.6785714,74.47619048,0.06952381,15.46142857,2.808095238,9.523809524,14,3.428571429,0,73.14285714,2.713809524,2.523809524,0.926666667,2.761904762,6.095238095,4.523809524,13.61904762,328.4761905,15.50142857,160.1280952,0.864285714,0.857142857,1.259047619,5.047619048,4.571428571,5.432380952,0.847142857,14.09333333,0.476190476,0,2.571428571,2,22448,58.9,286,17.65,643.93,31596.25,71.26,19.12,31058.96,29.69,140.9,17360.25,1564,1.46,324.69,58.97,200,294,72,0,1536,56.99,53,19.46,58,128,95,286,6898,325.53,3362.69,18.15,18,26.44,106,96,114.08,17.79,295.96,10,0,54,42,811,2.73,51,2.05,126.52,4184.85,4.65,1.25,3129.42,8.65,4.45,2297.4,78,0.22,16.98,2.64,10,0,4,0,161,2.55,4,2.93,4,5,5,14,461,49.98,486.29,1.55,1,4.44,10,4,38.91,0.82,96.77,10,0,4,0,4.59
Ba2Cu2ThSe5,778.8,1.872,43,1.491,102.85981,1936.05,2.928,1.417,4071.7,6.057,4.79384,918.25,60.7,0.06904,25.8514572,1.756,7.8,14,4,0.2,128.8,1.963,4.7,2.231,2.6,5,4,10.9,274.7,9.115,158.75,1.455,1.1,2.888,5.8,3.8,14.39,0.288,89.54,2.2,0,2,1.8,7788,18.72,430,14.91,1028.5981,19360.5,29.28,14.17,40717,60.57,47.9384,9182.5,607,0.6904,258.514572,17.56,78,140,40,2,1288,19.63,47,22.31,26,50,40,109,2747,91.15,1587.5,14.55,11,28.88,58,38,143.9,2.88,895.4,22,0,20,18,438,1.55,61,1.5,168.4881,4105,4.3,0.82,12793,8.2,2.8816,1533,80,0.11,3.86,1.33,10,0,4,1,114.2,1.66,3,3.69,4,5,4,14,396,9.41,476.7,1,2,3.44,9,5,35.9,0.26,400.48,10,0,4,1,1.75
Ba2Ga8GeS16,829.6296296,2.195185185,24,1.158148148,52.52407407,1474.972222,2.804814815,1.16962963,3589.777778,3.431111111,5.205185185,437.6166667,77.66666667,0.064074074,24.07333333,2.077407407,10,14,3.259259259,0,104.4518519,2.205555556,3.555555556,1.465185185,2.888888889,6,4.740740741,14,277.3703704,4.617777778,105.2333333,1.183333333,0.925925926,2.500740741,4.740740741,4.740740741,7.285185185,0.557037037,15.77111111,0,0,2.740740741,2,22400,59.27,648,31.27,1418.15,39824.25,75.73,31.58,96924,92.64,140.54,11815.65,2097,1.73,649.98,56.09,270,378,88,0,2820.2,59.55,96,39.56,78,162,128,378,7489,124.68,2841.3,31.95,25,67.52,128,128,196.7,15.04,425.82,0,0,74,54,497,1.71,40,1.65,105.26,2385.3,1.95,0.96,7086,3.83,1.68,917.6,79,0.05,5.24,1.51,0,0,4,0,125,1.69,3,2.3,3,5,4,14,197,35.22,321.1,1.15,1,2,4,4,36.8,0.51,59.63,0,0,4,0,3
Ba2Ga8SiS16,830.5555556,2.192592593,23.33333333,1.152962963,50.87518519,1457.37963,2.833703704,1.165555556,3469.740741,3.32037037,5.188518519,454.75,77.62962963,0.064444444,23.95111111,2.07962963,10,14,3.259259259,0,104.3703704,2.201481481,3.518518519,1.46,2.888888889,6,4.740740741,14,280.1481481,5.121851852,107.2081481,1.177777778,0.925925926,2.500740741,4.740740741,4.740740741,7.259259259,0.571481481,19.03407407,0,0,2.740740741,2,22425,59.2,630,31.13,1373.63,39349.25,76.51,31.47,93683,89.65,140.09,12278.25,2096,1.74,646.68,56.15,270,378,88,0,2818,59.44,95,39.42,78,162,128,378,7564,138.29,2894.62,31.8,25,67.52,128,128,196,15.43,513.92,0,0,74,54,497,1.71,42,1.65,109.24,1958.3,2.73,0.96,6306,3.83,1.68,1380.2,79,0.05,8.07,1.51,0,0,4,0,125,1.69,3,2.3,3,5,4,14,272,48.83,374.42,1.15,1,2,4,4,36.8,0.51,147.73,0,0,4,0,3.4
Ba2GaDyTe5,722.5555556,1.712222222,52.11111111,1.65,127.2088889,1739.705556,2.288888889,1.506666667,3716.111111,5.85,5.075711111,844.1833333,63.66666667,0.049177778,26.33833333,1.667777778,4.444444444,12.88888889,3.666666667,0,140.8777778,1.701111111,5.222222222,2.28,2.777777778,4.666666667,4.444444444,11.11111111,213.5555556,13.28888889,115.0611111,1.594444444,1,2.271111111,4.444444444,2.111111111,15.5,0.215555556,11.09444444,5.555555556,1.111111111,2.333333333,2,6503,15.41,469,14.85,1144.88,15657.35,20.6,13.56,33445,52.65,45.6814,7597.65,573,0.4426,237.045,15.01,40,116,33,0,1267.9,15.31,47,20.52,25,42,40,100,1922,119.6,1035.55,14.35,9,20.44,40,19,139.5,1.94,99.85,50,10,21,18,366,1.28,35,1.3,92.78,1577.2,1.14,0.72,5311,5.05,1.27,1382.2,81,0.05,2.49,1.1,10,10,4,0,94.9,1.21,2,2,4,4,4,14,111,11.9,206.15,0.85,3,1.44,4,1,34.2,0.2,38.25,10,10,4,0,1.13
Ba2GaSbSe5,791.5555556,1.961111111,40.44444444,1.433333333,95.66,1501.816667,2.406666667,1.377777778,3112.777778,4.837777778,5.212222222,628.2388889,69.11111111,0.054444444,25.97111111,1.883333333,8.888888889,14,3.333333333,0,123.9666667,2.043333333,4.555555556,1.857777778,3.111111111,5.555555556,4.666666667,12.44444444,227,8.267777778,89.81555556,1.422222222,0.777777778,2.271111111,4.666666667,4.333333333,12.56666667,0.286666667,11.58888889,1.111111111,0,2.666666667,2,7124,17.65,364,12.9,860.94,13516.35,21.66,12.4,28015,43.54,46.91,5654.15,622,0.49,233.74,16.95,80,126,30,0,1115.7,18.39,41,16.72,28,50,42,112,2043,74.41,808.34,12.8,7,20.44,42,39,113.1,2.58,104.3,10,0,24,18,438,1.55,25,1.5,67.61,1718,0.91,0.82,5863,3.19,1.59,695.2,80,0.05,2.74,1.33,10,0,4,0,114.2,1.66,2,2.11,3,5,4,14,106,14.28,221,1,1,1.44,4,4,35.9,0.17,40.08,10,0,4,0,2.51
Ba2GaSbTe5,751.5555556,1.811111111,50.44444444,1.544444444,122.6822222,1671.15,2.256666667,1.483333333,3430.555556,5.643333333,5.034444444,757.4055556,69.66666667,0.048888889,26.11,1.755555556,3.333333333,14,3.333333333,0,134.6888889,1.793333333,5.111111111,2.068888889,3.111111111,5,4.666666667,12.44444444,210.3333333,14.26777778,98.06555556,1.561111111,0.777777778,2.271111111,4.666666667,2.111111111,13.51111111,0.22,12.60555556,6.666666667,0,2.666666667,2,6764,16.3,454,13.9,1104.14,15040.35,20.31,13.35,30875,50.79,45.31,6816.65,627,0.44,234.99,15.8,30,126,30,0,1212.2,16.14,46,18.62,28,45,42,112,1893,128.41,882.59,14.05,7,20.44,42,19,121.6,1.98,113.45,60,0,24,18,366,1.28,25,1.3,67.61,1413.2,0.91,0.72,5291,3.19,1.27,695.2,81,0.05,2.49,1.1,10,0,4,0,94.9,1.21,2,1.73,3,4,4,14,106,14.28,206.15,0.85,1,1.44,4,1,34.2,0.17,38.25,10,0,4,0,1.66
Ba2GaYSe5,765.5555556,1.865555556,39.11111111,1.521111111,92.01,1655.927778,2.586666667,1.404444444,3543.888889,4.591111111,5.034444444,727.35,61,0.054444444,26.09333333,1.797777778,9.888888889,14,3.666666667,0,129.5222222,1.951111111,4.555555556,1.987777778,2.888888889,5.222222222,4.222222222,11.11111111,244.8888889,7.326666667,121.5777778,1.466666667,0.888888889,2.271111111,4.444444444,4.333333333,14.35555556,0.296666667,10.8,0.111111111,0,2.333333333,2,6890,16.79,352,13.69,828.09,14903.35,23.28,12.64,31895,41.32,45.31,6546.15,549,0.49,234.84,16.18,89,126,33,0,1165.7,17.56,41,17.89,26,47,38,100,2204,65.94,1094.2,13.2,8,20.44,40,39,129.2,2.67,97.2,1,0,21,18,438,1.55,25,1.5,67.61,2652,2.47,0.82,7193,2.4,2.36,1493.2,80,0.05,2.74,1.33,1,0,4,0,114.2,1.66,2,2.11,3,5,5,14,243,5.81,325.3,1,2,1.44,4,4,35.9,0.17,40.08,1,0,4,0,2.31
Ba2HgS5,876.625,2.05875,34,1.39625,79.45,1005.7125,2.34,1.31875,1855.625,3.85625,5.8046125,520.0375,66.125,0.0534125,24.71900125,1.99375,8.75,12.25,3.5,0,116.2,2.085,4.125,1.83875,3,5.375,4.375,12,227,3.299375,49.028625,1.35,0.875,2.305,5.75,4.5,12.4125,0.511125,5.81125,1.25,1.75,2.5,2,7013,16.47,272,11.17,635.6,8045.7,18.72,10.55,14845,30.85,46.4369,4160.3,529,0.4273,197.75201,15.95,70,98,28,0,929.6,16.68,33,14.71,24,43,35,96,1816,26.395,392.229,10.8,7,18.44,46,36,99.3,4.089,46.49,10,14,20,16,504,1.71,64,1.65,168.52,1283,2.18,0.96,1956,11.43,3.7769,763.9,79,0.0373,5.24,1.51,10,14,4,0,125,1.69,3,2.3,4,5,5,14,218,6.03,132.2,1.15,2,2.44,10,4,36.8,0.571,18.13,10,14,4,0,2.4
Ba2InCeTe5,715.8888889,1.701111111,53.22222222,1.624444444,129.7333333,1780.483333,2.398888889,1.533333333,3923.888889,5.796666667,4.993333333,790.05,62,0.046666667,26.29444444,1.658888889,3.222222222,13.88888889,3.666666667,0,144.8333333,1.686666667,5.333333333,2.411111111,2.888888889,4.666666667,4.444444444,11.11111111,223,12.40777778,132.4722222,1.633333333,1,2.293333333,4.444444444,2,16.24444444,0.202222222,15.72777778,6.777777778,0.111111111,2.333333333,2,6443,15.31,479,14.62,1167.6,16024.35,21.59,13.8,35315,52.17,44.94,7110.45,558,0.42,236.65,14.93,29,125,33,0,1303.5,15.18,48,21.7,26,42,40,100,2007,111.67,1192.25,14.7,9,20.64,40,18,146.2,1.82,141.55,61,1,21,18,366,1.28,9,1.3,25.3,2267.2,2.42,0.63,8071,3.81,1.21,641.4,81,0.03,2.49,1.1,10,1,4,0,94.9,1.21,1,2.83,3,4,4,14,239,14.23,361.45,0.75,3,1.44,4,0,34.2,0.04,79.25,10,1,4,0,1.35
Ba2InDySe5,760.2222222,1.851111111,44.11111111,1.561111111,105.1977778,1534.483333,2.406666667,1.421111111,3299.444444,5.201111111,5.260155556,729.1055556,63.22222222,0.052511111,26.26722222,1.791111111,8.888888889,12.88888889,3.666666667,0,131.5777778,1.947777778,4.777777778,2.107777778,2.777777778,5.222222222,4.444444444,11.11111111,225.4444444,7.03,103.7888889,1.483333333,1,2.271111111,4.444444444,4.222222222,14.73333333,0.266666667,14.63333333,1.111111111,1.111111111,2.333333333,2,6842,16.66,397,14.05,946.78,13810.35,21.66,12.79,29695,46.81,47.3414,6561.95,569,0.4726,236.405,16.12,80,116,33,0,1184.2,17.53,43,18.97,25,47,40,100,2029,63.27,934.1,13.35,9,20.44,40,38,132.6,2.4,131.7,10,10,21,18,438,1.55,32,1.5,83.54,1882,1.14,0.82,5883,5.05,1.53,1255.4,80,0.03,2.74,1.33,10,10,4,0,114.2,1.66,2,2.38,4,5,4,14,111,7.8,193.8,1,3,1.44,4,4,35.9,0.15,81.08,10,10,4,0,2.27
Ba2ZnSe3,789.1666667,1.773333333,40.66666667,1.595,96.155,1313.316667,2.088333333,1.458333333,2531.833333,4.75,4.995,693.25,59,0.058333333,26.22166667,1.725,8.333333333,14,4,0,132.3166667,1.846666667,4.666666667,2.091666667,2.666666667,4.833333333,3.833333333,10.66666667,195.3333333,7.148333333,85.4,1.516666667,0.833333333,2.406666667,5.666666667,4,16.2,0.291666667,25.72666667,1.666666667,0,2,2,4735,10.64,244,9.57,576.93,7879.9,12.53,8.75,15191,28.5,29.97,4159.5,354,0.35,157.33,10.35,50,84,24,0,793.9,11.08,28,12.55,16,29,23,64,1172,42.89,512.4,9.1,5,14.44,34,24,97.2,1.75,154.36,10,0,12,12,438,1.55,26,1.5,71.94,955,1.11,0.82,1623,3.63,2.01,508,80,0.08,2.74,1.33,10,0,4,0,114.2,1.66,2,2.11,4,5,5,14,96,1.06,104.3,1,2,2.44,10,4,35.9,0.19,115.48,10,0,4,0,2.75
Ba2ZnV2O8,1055.846154,2.714615385,19.38461538,1.056923077,43.84076923,1002.534615,2.825384615,1.046923077,1770.510769,2.026923077,6.619230769,573.3346154,67.30769231,0.031538462,19.16923077,2.686153846,8.769230769,14,3.538461538,0,89.13076923,2.631538462,3.076923077,1.330769231,3.230769231,5.538461538,4.538461538,11.84615385,270.0769231,5.106153846,102.5061538,1.011538462,1.076923077,1.418461538,5.692307692,4.461538462,8.993846154,0.702307692,16.49538462,1.230769231,0,2.461538462,2,13726,35.29,252,13.74,569.93,13032.95,36.73,13.61,23016.64,26.35,86.05,7453.35,875,0.41,249.2,34.92,114,182,46,0,1158.7,34.21,40,17.3,42,72,59,154,3511,66.38,1332.58,13.15,14,18.44,74,58,116.92,9.13,214.44,16,0,32,26,811,2.73,48,2.05,121.33,3563,3.96,1.25,5775.42,7.13,5.17,2108.4,78,0.12,13.29,2.64,10,0,4,0,161,2.55,4,2.93,4,5,5,14,383,20.68,449.59,1.55,2,5,10,4,38.91,0.72,115.97,10,0,4,0,3.48
Ba3BSbS6,831.2727273,2.019090909,29.09090909,1.37,66.99818182,1504.063636,2.850909091,1.296363636,2368,2.904545455,5.282727273,778.7681818,64.72727273,0.065454545,23.38636364,1.98,9.090909091,14,3.454545455,0,118.2636364,2.021818182,3.909090909,1.760909091,3.090909091,5.454545455,4.545454545,11.81818182,277.1818182,9.421818182,95.60363636,1.340909091,0.727272727,2.181818182,4.545454545,4.272727273,13.28181818,0.553636364,9.829090909,0.909090909,0,2.545454545,2,9144,22.21,320,15.07,736.98,16544.7,31.36,14.26,26048,31.95,58.11,8566.45,712,0.72,257.25,21.78,100,154,38,0,1300.9,22.24,43,19.37,34,60,50,130,3049,103.64,1051.64,14.75,8,24,50,47,146.1,6.09,108.12,10,0,28,22,497,1.71,51,1.66,126.52,3557.15,3.91,1.16,3756,4.62,1.38,1966.2,79,0.19,16.98,1.51,10,0,4,0,128.4,1.69,4,2.6,3,5,4,14,393,48.48,479.9,1.3,1,1,4,4,36.8,0.82,26.73,10,0,4,0,2.62
Ba3Bi2TeO9,1040.666667,2.754,30.53333333,1.066666667,73.436716,765.3366667,2.388666667,1.118666667,1518.014667,2.416,6.922506667,353.21,71.46666667,0.01556,19.47901925,2.750666667,8,12.13333333,2.933333333,0,92.87333333,2.651333333,3.533333333,1.3396,3.466666667,5.666666667,5.066666667,13.06666667,226.1333333,4.354666667,47.92266667,1.096666667,0.8,0.933333333,5.066666667,4.8,9.767333333,0.621333333,4.904,2,1.866666667,3.066666667,2,15610,41.31,458,16,1101.55074,11480.05,35.83,16.78,22770.22,36.24,103.8376,5298.15,1072,0.2334,292.1852888,41.26,120,182,44,0,1393.1,39.77,53,20.094,52,85,76,196,3392,65.32,718.84,16.45,12,14,76,72,146.51,9.32,73.56,30,28,46,30,811,2.73,75,2.05,192.98037,1823,0.72,1.25,4465.42,9.75,3.9,943.4,81,0.05,13.29,2.64,10,14,4,0,161,2.55,4,2.93,2,5,4,14,69,17.27,138.59,1.55,1,3,4,4,38.91,0.8,18.37,10,14,4,0,2.3
Ba3Ho2P4S16,908.76,2.2104,24.72,1.2044,55.1540256,1015.358,2.852,1.1864,1998,2.74,5.515144,557.318,73.32,0.055872,23.8611081,2.1544,10,13.12,2.96,0,105.08,2.2068,3.6,1.6024,3.36,6.08,5.12,13.12,274.64,3.1124,44.5328,1.198,1.04,2.24,5.12,5.04,9.084,0.6144,3.7152,0,0.88,3.04,2,22719,55.26,618,30.11,1378.85064,25383.95,71.3,29.66,49950,68.5,137.8786,13932.95,1833,1.3968,596.5277024,53.86,250,328,74,0,2627,55.17,90,40.06,84,152,128,328,6866,77.81,1113.32,29.95,26,56,128,126,227.1,15.36,92.88,0,22,76,50,509,1.71,52,1.65,133.96032,2420,1.53,0.96,6576,6.98,1.38,1429.9,79,0.03,5.24,1.51,0,11,4,0,125,1.69,3,2.55,3,5,4,14,135,11.54,231.2,1.15,3,1,4,4,36.8,0.61,18.16,0,11,4,0,3.3
Ba3In2P4O16,1107.88,2.9088,18.16,0.8924,40.8604,564.03,2.6552,0.9896,1188.7712,1.296,7.0252,239.958,76.04,0.018,18.7108,2.9112,9.2,14,2.88,0,79.28,2.8012,2.88,1.0712,3.36,6.24,5.12,13.92,250.8,1.4372,39.6832,0.926,0.88,0.9952,5.12,5.04,6.6216,0.7544,8.7936,0.8,0,3.12,2,27697,72.72,454,22.31,1021.51,14100.75,66.38,24.74,29719.28,32.4,175.63,5998.95,1901,0.45,467.77,72.78,230,350,72,0,1982,70.03,72,26.78,84,156,128,348,6270,35.93,992.08,23.15,22,24.88,128,126,165.54,18.86,219.84,20,0,78,50,811,2.73,48,2.05,121.33,2263,1.53,1.25,6575.42,7.31,4.14,943.4,78,0.06,13.29,2.64,10,0,4,0,161,2.55,4,2.93,3,5,4,14,135,7.53,228.09,1.55,1,3.44,4,4,38.91,0.72,81.57,10,0,4,0,3.87
Ba3SnSb2Se8,815.2857143,1.99,42.28571429,1.424285714,100.4214286,1456.721429,2.43,1.385,2843.928571,4.965,5.291428571,659.2214286,70.64285714,0.052142857,26.02,1.92,7.857142857,14,3.142857143,0,122.5,2.080714286,4.642857143,1.852857143,3.285714286,5.642857143,4.857142857,12.71428571,227.2857143,8.824285714,84.12,1.428571429,0.785714286,2.285714286,4.857142857,4.285714286,12.17142857,0.272142857,12.46857143,2.142857143,0,2.857142857,2,11414,27.86,592,19.94,1405.9,20394.1,34.02,19.39,39815,69.51,74.08,9229.1,989,0.73,364.28,26.88,110,196,44,0,1715,29.13,65,25.94,46,79,68,178,3182,123.54,1177.68,20,11,32,68,60,170.4,3.81,174.56,30,0,40,28,438,1.55,22,1.5,58.37,1585,1.24,0.82,4052,3.81,1.29,508,80,0.03,2.74,1.33,10,0,4,0,114.2,1.66,2,2.11,2,5,4,14,122,13.18,258.1,1,1,2,4,4,35.9,0.12,66.08,10,0,4,0,0.97
Ba4CuGa5S12,802.3636364,2.056818182,27.27272727,1.315,61.19590909,1476.713636,2.697272727,1.265454545,3289.5,3.513636364,5.117727273,522.4954545,69.36363636,0.062727273,24.47409091,1.959545455,9.545454545,14,3.590909091,0.045454545,115.55,2.066818182,3.818181818,1.697272727,2.772727273,5.5,4.409090909,12.54545455,265.2727273,4.210909091,103.6090909,1.293181818,0.863636364,2.483636364,4.818181818,4.363636364,10.94545455,0.525,30.94727273,0.454545455,0,2.409090909,1.954545455,17652,45.25,600,28.93,1346.31,32487.7,59.34,27.84,72369,77.3,112.59,11494.9,1526,1.38,538.43,43.11,210,308,79,1,2542.1,45.47,84,37.34,61,121,97,276,5836,92.64,2279.4,28.45,19,54.64,106,96,240.8,11.55,680.84,10,0,53,43,497,1.71,40,1.65,105.26,2122.3,1.59,0.96,6306,6.89,2.19,1053.2,79,0.11,5.24,1.51,10,0,4,1,125,1.69,3,2.3,4,5,4,14,158,11.33,290.5,1.15,2,3.44,9,5,36.8,0.51,400.73,10,0,4,1,2.82
Ba4Ga4GeSe12,780.0952381,1.986190476,37.52380952,1.389047619,88.01571429,1569.435714,2.486190476,1.338095238,3478.285714,4.780952381,5.158095238,586.0357143,70.42857143,0.058571429,25.79619048,1.89,10,14,3.428571429,0,120.7714286,2.067142857,4.380952381,1.782857143,2.952380952,5.619047619,4.571428571,12.66666667,236.4285714,8.122857143,113.6238095,1.373809524,0.80952381,2.36952381,4.571428571,4.571428571,11.56666667,0.306666667,14.38761905,0,0,2.571428571,2,16382,41.71,788,29.17,1848.33,32958.15,52.21,28.1,73044,100.4,108.32,12306.75,1479,1.23,541.72,39.69,210,294,72,0,2536.2,43.41,92,37.44,62,118,96,266,4965,170.58,2386.1,28.85,17,49.76,96,96,242.9,6.44,302.14,0,0,54,42,438,1.55,25,1.5,67.61,2145,1.95,0.82,6643,2.4,1.59,917.6,80,0.05,4.77,1.33,0,0,4,0,114.2,1.66,2,2.11,3,5,4,14,197,31.35,293.2,1,1,2,4,4,35.9,0.17,59.38,0,0,4,0,2.18
